CaseID,ThermoID,ThermoValue
307,THERMOh,53
308,THERMOa,19
308,THERMOb,47
308,THERMOc,52
308,THERMOd,27
308,THERMOe,28
308,THERMOf,31
308,THERMOg,31
308,THERMOh,23
309,THERMOa,42
309,THERMOb,28
309,THERMOc,41
309,THERMOd,49
309,THERMOe,35
309,THERMOf,31
309,THERMOg,2
309,THERMOh,23
310,THERMOa,33
310,THERMOb,28
310,THERMOc,47
310,THERMOd,58
310,THERMOe,45
310,THERMOf,31
310,THERMOg,31
310,THERMOh,23
311,THERMOa,50
311,THERMOb,18
311,THERMOc,24
311,THERMOd,46
311,THERMOe,19
311,THERMOf,31
311,THERMOg,50
311,THERMOh,42
313,THERMOa,33
313,THERMOb,28
313,THERMOc,29
313,THERMOd,33
313,THERMOe,45
313,THERMOf,29
313,THERMOg,41
313,THERMOh,23
315,THERMOa,46
315,THERMOb,9
315,THERMOc,6
315,THERMOd,57
315,THERMOe,11
315,THERMOf,31
315,THERMOg,31
315,THERMOh,23
316,THERMOa,1
316,THERMOb,1
316,THERMOc,29
316,THERMOd,42
316,THERMOe,28
316,THERMOf,31
316,THERMOg,31
316,THERMOh,23
317,THERMOa,26
317,THERMOb,23
317,THERMOc,47
317,THERMOd,46
317,THERMOe,23
317,THERMOf,31
317,THERMOg,31
317,THERMOh,42
319,THERMOa,1
319,THERMOb,52
319,THERMOc,29
319,THERMOd,53
319,THERMOe,50
319,THERMOf,31
319,THERMOg,1
319,THERMOh,23
320,THERMOa,28
320,THERMOb,43
320,THERMOc,47
320,THERMOd,53
320,THERMOe,50
320,THERMOf,37
320,THERMOg,25
320,THERMOh,38
321,THERMOa,50
321,THERMOb,1
321,THERMOc,11
321,THERMOd,46
321,THERMOe,6
321,THERMOf,21
321,THERMOg,31
321,THERMOh,23
322,THERMOa,17
322,THERMOb,52
322,THERMOc,54
322,THERMOd,42
322,THERMOe,46
322,THERMOf,2
322,THERMOg,2
322,THERMOh,2
323,THERMOa,39
323,THERMOb,18
323,THERMOc,29
323,THERMOd,53
323,THERMOe,19
323,THERMOf,16
323,THERMOg,21
323,THERMOh,23
325,THERMOa,6
325,THERMOb,17
325,THERMOc,15
325,THERMOd,6
325,THERMOe,6
325,THERMOf,6
325,THERMOg,13
325,THERMOh,6
327,THERMOa,1
327,THERMOb,28
327,THERMOc,41
327,THERMOd,38
327,THERMOe,38
327,THERMOf,31
327,THERMOg,1
327,THERMOh,23
330,THERMOa,6
330,THERMOb,48
330,THERMOc,43
330,THERMOd,15
330,THERMOe,45
330,THERMOf,31
330,THERMOg,6
330,THERMOh,15
332,THERMOa,39
332,THERMOb,26
332,THERMOc,20
332,THERMOd,38
332,THERMOe,17
332,THERMOf,1
332,THERMOg,42
332,THERMOh,28
333,THERMOa,1
333,THERMOb,55
333,THERMOc,49
333,THERMOd,33
333,THERMOe,50
333,THERMOf,35
333,THERMOg,10
333,THERMOh,15
334,THERMOa,19
334,THERMOb,52
334,THERMOc,29
334,THERMOd,16
334,THERMOe,28
334,THERMOf,31
334,THERMOg,31
334,THERMOh,23
335,THERMOa,21
335,THERMOb,21
335,THERMOc,29
335,THERMOd,35
335,THERMOe,28
335,THERMOf,37
335,THERMOg,42
335,THERMOh,35
336,THERMOa,37
336,THERMOb,31
336,THERMOc,50
336,THERMOd,51
336,THERMOe,25
336,THERMOf,46
336,THERMOg,55
336,THERMOh,53
338,THERMOa,46
338,THERMOb,23
338,THERMOc,17
338,THERMOd,53
338,THERMOe,23
