CaseID,StructureID,StructureValue
36,WOMENOPPS_order,order 2
36,FAIRTRT_order,order 1
36,TALKREL_order,order 1
37,SOCTRUST2_order,order 2
37,CONGPOST_order,order 2
37,GSSTRUST3_order,order 1
37,POLCRCT_order,order 2
37,ECONFAIR2_order,order 1
37,IMMCULT2_order,order 2
37,GSSTRUST2_order,order 2
37,SNSSKEP_order,order 1
37,QBELIEF3_order,order 1
37,QBELIEF4_order,order 1
37,TWKNOW_order,order 1
37,TWAUTO_order,order 1
37,JOKE1_order,order 1
37,CHOICE1_order,order 1
37,WOMENOPPS_order,order 1
37,FAIRTRT_order,order 1
37,TALKREL_order,order 2
39,SOCTRUST2_order,order 1
39,CONGPOST_order,order 1
39,GSSTRUST3_order,order 1
39,POLCRCT_order,order 2
39,ECONFAIR2_order,order 2
39,IMMCULT2_order,order 1
39,GSSTRUST2_order,order 2
39,SNSSKEP_order,order 1
39,QBELIEF3_order,order 1
39,QBELIEF4_order,order 1
39,TWKNOW_order,order 1
39,TWAUTO_order,order 2
39,JOKE1_order,order 1
39,CHOICE1_order,order 1
39,WOMENOPPS_order,order 2
39,FAIRTRT_order,order 1
39,TALKREL_order,order 1
42,SOCTRUST2_order,order 2
42,CONGPOST_order,order 1
42,GSSTRUST3_order,order 1
42,POLCRCT_order,order 2
42,ECONFAIR2_order,order 2
42,IMMCULT2_order,order 1
42,GSSTRUST2_order,order 1
42,SNSSKEP_order,order 1
42,QBELIEF3_order,order 2
42,QBELIEF4_order,order 2
42,TWKNOW_order,order 2
42,TWAUTO_order,order 1
42,JOKE1_order,order 2
42,CHOICE1_order,order 2
42,WOMENOPPS_order,order 1
42,FAIRTRT_order,order 2
42,TALKREL_order,order 2
43,SOCTRUST2_order,order 2
43,CONGPOST_order,
43,GSSTRUST3_order,order 1
43,POLCRCT_order,order 2
43,ECONFAIR2_order,order 2
43,IMMCULT2_order,order 1
43,GSSTRUST2_order,order 1
43,SNSSKEP_order,order 1
43,QBELIEF3_order,order 2
43,QBELIEF4_order,order 2
43,TWKNOW_order,order 1
43,TWAUTO_order,order 2
43,JOKE1_order,order 2
43,CHOICE1_order,order 2
43,WOMENOPPS_order,order 1
43,FAIRTRT_order,order 1
43,TALKREL_order,order 2
44,SOCTRUST2_order,order 2
44,CONGPOST_order,
44,GSSTRUST3_order,order 1
44,POLCRCT_order,order 2
44,ECONFAIR2_order,order 1
44,IMMCULT2_order,order 2
44,GSSTRUST2_order,order 2
44,SNSSKEP_order,order 1
44,QBELIEF3_order,order 1
44,QBELIEF4_order,order 1
44,TWKNOW_order,order 2
44,TWAUTO_order,order 2
44,JOKE1_order,order 1
44,CHOICE1_order,order 1
44,WOMENOPPS_order,order 1
44,FAIRTRT_order,order 1
44,TALKREL_order,order 1
47,SOCTRUST2_order,order 2
47,CONGPOST_order,order 2
47,GSSTRUST3_order,order 1
47,POLCRCT_order,order 2
47,ECONFAIR2_order,order 2
47,IMMCULT2_order,order 2
47,GSSTRUST2_order,order 1
47,SNSSKEP_order,order 2
47,QBELIEF3_order,order 2
47,QBELIEF4_order,order 2
47,TWKNOW_order,order 1
47,TWAUTO_order,order 2
47,JOKE1_order,order 2
47,CHOICE1_order,order 1
47,WOMENOPPS_order,order 2
47,FAIRTRT_order,order 2
47,TALKREL_order,order 1
48,SOCTRUST2_order,order 1
48,CONGPOST_order,order 1
48,GSSTRUST3_order,order 1
48,POLCRCT_order,order 2
48,ECONFAIR2_order,order 2
48,IMMCULT2_order,order 1
48,GSSTRUST2_order,order 2
48,SNSSKEP_order,order 2
48,QBELIEF3_order,order 2
48,QBELIEF4_order,order 2
48,TWKNOW_order,order 1
48,TWAUTO_order,order 1
48,JOKE1_order,order 2
48,CHOICE1_order,order 2
48,WOMENOPPS_order,order 1
48,FAIRTRT_order,order 1
48,TALKREL_order,order 2
50,SOCTRUST2_order,order 1
50,CONGPOST_order,
50,GSSTRUST3_order,order 1
50,POLCRCT_order,order 2
50,ECONFAIR2_order,order 1
50,IMMCULT2_order,order 2
50,GSSTRUST2_order,order 1
50,SNSSKEP_order,order 1
50,QBELIEF3_order,order 2
50,QBELIEF4_order,order 2
50,TWKNOW_order,order 1
50,TWAUTO_order,order 2
50,JOKE1_order,order 1
50,CHOICE1_order,order 1
50,WOMENOPPS_order,order 1
50,FAIRTRT_order,order 1
50,TALKREL_order,order 1
51,SOCTRUST2_order,order 2
51,CONGPOST_order,order 1
51,GSSTRUST3_order,order 2
51,POLCRCT_order,order 1
51,ECONFAIR2_order,order 2
51,IMMCULT2_order,order 1
51,GSSTRUST2_order,order 1
51,SNSSKEP_order,order 2
51,QBELIEF3_order,order 1
51,QBELIEF4_order,order 1
51,TWKNOW_order,order 2
51,TWAUTO_order,order 1
51,JOKE1_order,order 1
51,CHOICE1_order,order 1
51,WOMENOPPS_order,order 1
51,FAIRTRT_order,order 1
51,TALKREL_order,order 1
52,SOCTRUST2_order,order 1
52,CONGPOST_order,
52,GSSTRUST3_order,order 1
52,POLCRCT_order,order 1
52,ECONFAIR2_order,order 1
52,IMMCULT2_order,order 2
52,GSSTRUST2_order,order 2
52,SNSSKEP_order,order 2
52,QBELIEF3_order,order 1
52,QBELIEF4_order,order 1
52,TWKNOW_order,order 1
52,TWAUTO_order,order 1
52,JOKE1_order,order 2
52,CHOICE1_order,order 1
52,WOMENOPPS_order,order 1
52,FAIRTRT_order,order 2
52,TALKREL_order,order 2
54,SOCTRUST2_order,order 2
54,CONGPOST_order,order 1
54,GSSTRUST3_order,order 1
54,POLCRCT_order,order 1
54,ECONFAIR2_order,order 2
54,IMMCULT2_order,order 2
